ra,dec,phot_g_mean_mag
101.84474171548902,-48.56341036141839,6.6809278
101.76558422105003,-48.5325631561723,9.106405
101.63943241416986,-48.684722813999194,9.733986
101.72358298238576,-48.40539159530851,10.392154
101.84463449693132,-48.563894672782276,10.418353
101.7511430089768,-48.585389584662494,10.626469
101.65600420972389,-48.37222201760529,10.833928
101.64036796725436,-48.75837068369604,11.105173
101.6193921506442,-48.4906685060555,11.362129
101.85092856697209,-48.57673472110725,11.392465
